date,price
08/31/2015,3.237
08/24/2015,3.33
08/17/2015,3.432
08/10/2015,3.421
08/3/2015,3.514
07/27/2015,3.553
07/20/2015,3.56
07/13/2015,3.55
07/6/2015,3.468
06/29/2015,3.468
06/22/2015,3.491
06/15/2015,3.519
06/8/2015,3.567
06/1/2015,3.63
05/25/2015,3.686
05/18/2015,3.724
05/11/2015,3.702
05/4/2015,3.732
04/27/2015,3.44
04/20/2015,3.198
04/13/2015,3.149
04/6/2015,3.176
03/30/2015,3.229
03/23/2015,3.282
03/16/2015,3.363
03/9/2015,3.442
03/2/2015,3.409
02/23/2015,2.905
02/16/2015,2.784
02/9/2015,2.682
02/2/2015,2.534
01/26/2015,2.541
01/19/2015,2.575
01/12/2015,2.642
01/5/2015,2.745
12/29/2014,2.753
12/22/2014,2.819
12/15/2014,2.929
12/8/2014,3.03
12/1/2014,3.122
11/24/2014,3.136
11/17/2014,3.203
11/10/2014,3.283
11/3/2014,3.373
10/27/2014,3.436
10/20/2014,3.545
10/13/2014,3.64
10/6/2014,3.723
09/29/2014,3.762
09/22/2014,3.799
09/15/2014,3.833
09/8/2014,3.863
09/1/2014,3.906
08/25/2014,3.923
08/18/2014,3.937
08/11/2014,3.96
08/4/2014,4.002
07/28/2014,4.019
07/21/2014,4.059
07/14/2014,4.109
07/7/2014,4.156
06/30/2014,4.164
06/23/2014,4.133
06/16/2014,4.148
06/9/2014,4.155
06/2/2014,4.169
05/26/2014,4.18
05/19/2014,4.204
05/12/2014,4.19
05/5/2014,4.265
04/28/2014,4.27
04/21/2014,4.183
04/14/2014,4.139
04/7/2014,4.039
03/31/2014,4.005
03/24/2014,3.976
03/17/2014,3.969
03/10/2014,3.922
03/3/2014,3.862
02/24/2014,3.78
02/17/2014,3.701
02/10/2014,3.634
02/3/2014,3.627
01/27/2014,3.622
01/20/2014,3.627
01/13/2014,3.659
01/6/2014,3.672
12/30/2013,3.66
12/23/2013,3.606
12/16/2013,3.578
12/9/2013,3.587
12/2/2013,3.585
11/25/2013,3.577
11/18/2013,3.604
11/11/2013,3.659
11/4/2013,3.733
10/28/2013,3.805
10/21/2013,3.856
10/14/2013,3.889
10/7/2013,3.924
09/30/2013,3.969
09/23/2013,4.033
09/16/2013,4.054
09/9/2013,3.909
09/2/2013,3.844
08/26/2013,3.823
